ID	Level	TypeID	SkillID	IconID	Name	Desc	BindSkillID	TrainCost	ShowNewRecipeTip	nPriority	nShowAppendSkillID	nTeachPriority
56	1	1	1	1824	《天道剑势·人剑合一》穴位图断篇	调息时间减少3秒。		20700	0			
57	1	9	588	1832	《天道剑势·人剑合一》真传残页	招式的有效距离增加1尺。		13200	0			
58	1	9	588	1832	《天道剑势·人剑合一》真传断篇	招式的有效距离增加1尺。		13200	0			
59	1	9	588	1832	《天道剑势·人剑合一》真传绝章	招式的有效距离增加1尺。		16800	0			
60	1	6	588	1829	《天道剑势·人剑合一》参悟残页	伤害提高40%。		8700	0			
61	1	6	588	1829	《天道剑势·人剑合一》参悟断篇	伤害提高60%。		8100	0			5
62	1	8	588	1831	《天道剑势·人剑合一》人偶图残页	招式附加额外的持续伤害，持续12秒。		23400	0			5
63	1	8	905	1831	《天道剑势·人剑合一》人偶图断篇	回复气血效果提高100%。			0			
64	1	1	364	1824	《天道剑势·三环套月》穴位图残页	调息时间减少0.5秒。		5100	0			
65	1	5	364	1828	《天道剑势·三环套月》秘诀残页	会心提高2%。		2100	0			
66	1	5	364	1828	《天道剑势·三环套月》秘诀断篇	会心提高3%。		2400	0			5
67	1	5	364	1828	《天道剑势·三环套月》秘诀绝章	会心提高4%。		2100	0			5
68	1	7	364	1830	《天道剑势·三环套月》详解残页	命中提高1%。		3300	0			
69	1	7	364	1830	《天道剑势·三环套月》详解断篇	命中提高2%。		3300	0			
70	1	6	364	1829	《天道剑势·三环套月》参悟残页	伤害提高3%。		2100	0			
71	1	6	364	1829	《天道剑势·三环套月》参悟断篇	伤害提高4%。		2100	0			5
72	1	6	364	1829	《天道剑势·三环套月》参悟绝章	伤害提高5%。		2400	0			5
73	1	3	358	1826	《纯阳诀·生太极》经脉图残页	运功时间减少0.125秒。		12600	0			5
74	1	3	358	1826	《纯阳诀·生太极》经脉图断篇	运功时间减少0.125秒。		18600	0			5
75	1	3	358	1826	《纯阳诀·生太极》经脉图绝章	运功时间减少0.125秒。		18900	0			5
76	1	2	1	1825	《纯阳诀·生太极》注解残页	施展招式的消耗降低20%。		2700	0			
77	1	2	1	1825	《纯阳诀·生太极》注解断篇	施展招式的消耗降低30%。		2700	0			
78	1	2	1	1825	《纯阳诀·生太极》注解绝章	施展招式的消耗降低40%。		2700	0			
79	1	12	358	1832	《纯阳诀·生太极》真传残页	招式的有效范围增加1尺。		7200	0			
80	1	12	358	1832	《纯阳诀·生太极》真传断篇	招式的有效范围增加1尺。		7500	0			
81	1	12	358	1832	《纯阳诀·生太极》真传绝章	招式的有效范围增加1尺。		6600	0			
82	1	3	367	1826	《北冥剑气·四象轮回》经脉图残页	运功时间减少0.25秒。		23400	0			5
83	1	3	367	1826	《北冥剑气·四象轮回》经脉图断篇	运功时间减少0.25秒。		23400	0			5
84	1	5	367	1828	《北冥剑气·四象轮回》秘诀残页	会心提高2%。		2700	0			
85	1	5	367	1828	《北冥剑气·四象轮回》秘诀断篇	会心提高3%。		9900	0			5
86	1	5	367	1828	《北冥剑气·四象轮回》秘诀绝章	会心提高4%。		22200	0			5
87	1	9	367	1832	《北冥剑气·四象轮回》真传残页	招式的有效距离增加1尺。		12300	0			
88	1	9	367	1832	《北冥剑气·四象轮回》真传断篇	招式的有效距离增加1尺。		14700	0			
89	1	9	367	1832	《北冥剑气·四象轮回》真传绝章	招式的有效距离增加1尺。		23400	0			
90	1	8	367	1831	《北冥剑气·四象轮回》人偶图残页	招式的减速效果提高10%。		23400	0			
91	1	2	1	1825	《北冥剑气·太极无极》注解残页	施展招式的消耗降低30%。		1800	0			
92	1	5	306	1828	《北冥剑气·太极无极》秘诀残页	会心提高2%。		2100	0			
93	1	5	306	1828	《北冥剑气·太极无极》秘诀断篇	会心提高3%。		2400	0			
94	1	5	306	1828	《北冥剑气·太极无极》秘诀绝章	会心提高4%。		2100	0			
95	1	7	306	1830	《北冥剑气·太极无极》详解残页	命中提高1%。		3300	0			
96	1	7	306	1830	《北冥剑气·太极无极》详解断篇	命中提高2%。		3300	0			
97	1	6	306	1829	《北冥剑气·太极无极》参悟残页	伤害提高15%。		2100	0			
98	1	6	306	1829	《北冥剑气·太极无极》参悟断篇	伤害提高15%。		2100	0			
99	1	6	306	1829	《北冥剑气·太极无极》参悟绝章	伤害提高20%。		2400	0			
100	1	5	365	1828	《天道剑势·无我无剑》秘诀残页	会心提高2%。		8400	0			
101	1	5	365	1828	《天道剑势·无我无剑》秘诀断篇	会心提高3%。		9900	0			
102	1	5	365	1828	《天道剑势·无我无剑》秘诀绝章	会心提高4%。		15000	0			5
103	1	7	365	1830	《天道剑势·无我无剑》详解残页	命中提高1%。		11400	0			
104	1	7	365	1830	《天道剑势·无我无剑》详解断篇	命中提高2%。		12300	0			
105	1	6	365	1829	《天道剑势·无我无剑》参悟残页	伤害提高3%。		8400	0			
106	1	6	365	1829	《天道剑势·无我无剑》参悟断篇	伤害提高4%。		9300	0			5
107	1	6	365	1829	《天道剑势·无我无剑》参悟绝章	伤害提高5%。		9000	0			5
108	1	8	365	1831	《天道剑势·无我无剑》人偶图残页	命中目标则续气一格。		23400	0			5
109	1	1	312	1824	《坐忘经·坐忘无我》穴位图残页	调息时间减少4秒。		3600	0			
110	1	1	312	1824	《坐忘经·坐忘无我》穴位图断篇	调息时间减少8秒。		13200	0			
111	1	2	1	1825	《坐忘经·坐忘无我》注解残页	施展招式的消耗降低20%。		1500	0			
112	1	2	1	1825	《坐忘经·坐忘无我》注解断篇	施展招式的消耗降低25%。		1800	0			
113	1	2	1	1825	《坐忘经·坐忘无我》注解绝章	施展招式的消耗降低30%。		1800	0			
114	1	1	1	1824	《坐忘经·坐忘无我》穴位图绝章	调息时间减少6秒。		4200	0			
115	1	8	312	1831	《坐忘经·坐忘无我》人偶图残页	移动速度提高10%，持续6秒。		6000	0			
116	1	8	312	1831	《坐忘经·坐忘无我》人偶图断篇	招式立刻恢复5%气血最大值。		5400	0			
117	1	8	312	1831	《坐忘经·坐忘无我》人偶图绝章	“坐忘无我”消失后3秒内自身受到的伤害降低50%。		14100	0			
118	1	1	49	1879	《扫叶腿法·回风扫叶》穴位图残页	调息时间减少0.5秒。			0			
119	1	1	49	1879	《扫叶腿法·回风扫叶》穴位图断篇	调息时间减少0.7秒。			0			
120	1	1	49	1879	《扫叶腿法·回风扫叶》穴位图绝章	调息时间减少0.8秒。			0			
121	1	2	49	1880	《扫叶腿法·回风扫叶》注解残页	施展招式的消耗降低40%。			0			
122	1	2	49	1880	《扫叶腿法·回风扫叶》注解断篇	施展招式的消耗降低50%。			0			
123	1	6	49	1884	《扫叶腿法·回风扫叶》参悟残页	伤害提高100%。			0			
124	1	6	49	1884	《扫叶腿法·回风扫叶》参悟断篇	伤害提高100%。			0			
125	1	1	58	1879	《混元气·猛虎下山》穴位图残页	调息时间减少5秒。			0			
125	2	1	0	1879	《江湖轻功·神行千里》穴位图残页	调息时间减少15分钟。			0			
126	1	1	58	1879	《混元气·猛虎下山》穴位图断篇	调息时间减少10秒。			0			
127	1	2	58	1880	《混元气·猛虎下山》注解残页	施展招式的消耗降低10%。			0			
128	1	8	58	1886	《混元气·猛虎下山》人偶图残页	招式附加气血恢复，持续9秒。			0			
129	1	8	58	1886	《混元气·猛虎下山》人偶图断篇	招式附加气血恢复，持续9秒。			0			
130	1	8	58	1886	《混元气·猛虎下山》人偶图绝章	招式附加气血恢复，持续9秒。			0			
131	1	1	564	1835	《猿公剑法·剑灵寰宇》穴位图残页	调息时间减少2秒。		6000	0			
132	1	1	564	1835	《猿公剑法·剑灵寰宇》穴位图断篇	调息时间减少3秒。		6600	0			
133	1	2	564	1836	《猿公剑法·剑灵寰宇》注解残页	施展招式的消耗降低20%。		2400	0			
134	1	2	564	1836	《猿公剑法·剑灵寰宇》注解断篇	施展招式的消耗降低20%。		2700	0			
135	1	9	564	1843	《猿公剑法·剑灵寰宇》真传残页	招式的有效距离增加2尺。		3900	0			
136	1	6	564	1840	《猿公剑法·剑灵寰宇》参悟残页	伤害提高15%。		3000	0			
137	1	6	564	1840	《猿公剑法·剑灵寰宇》参悟断篇	伤害提高15%。		5100	0			
138	1	6	564	1840	《猿公剑法·剑灵寰宇》参悟绝章	伤害提高20%。		3300	0			
139	1	1	561	1835	《猿公剑法·剑气长江》穴位图残页	调息时间减少1秒。		23400	0			
140	1	1	561	1835	《猿公剑法·剑气长江》穴位图断篇	调息时间减少1秒。		23400	0			
141	1	2	1	1836	《猿公剑法·剑气长江》注解残页	施展招式的消耗降低10%。		8400	0			
142	1	2	1	1836	《猿公剑法·剑气长江》注解断篇	施展招式的消耗降低10%。		8400	0			
143	1	5	561	1839	《猿公剑法·剑气长江》秘诀残页	会心提高2%。		9000	0			
144	1	5	561	1839	《猿公剑法·剑气长江》秘诀断篇	会心提高3%。		11700	0			5
145	1	6	561	1840	《猿公剑法·剑气长江》参悟残页	伤害提高4%。		9000	0			5
146	1	6	561	1840	《猿公剑法·剑气长江》参悟断篇	伤害提高6%。		9900	0			5
147	1	2	1	1836	《猿公剑法·剑主天地》注解残页	施展招式的消耗降低10%。		7200	0			
148	1	2	1	1836	《猿公剑法·剑主天地》注解断篇	施展招式的消耗降低10%。		7500	0			
149	1	9	561	1843	《猿公剑法·剑气长江》真传残页	招式的有效距离增加1尺。		3900	0			
150	1	9	561	1843	《猿公剑法·剑气长江》真传断篇	招式的有效距离增加1尺。		6000	0			
151	1	6	562	1840	《猿公剑法·剑主天地》参悟残页	伤害提高3%。		8100	0			
152	1	6	562	1840	《猿公剑法·剑主天地》参悟断篇	伤害提高4%。		9600	0			
153	1	8	561	1842	《猿公剑法·剑气长江》人偶图残页	招式减速效果提高15%。		18300	0			
154	1	2	1	1836	《西河剑器·江海凝光》注解残页	施展招式的消耗降低10%。		1800	0			
155	1	5	553	1839	《西河剑器·江海凝光》秘诀残页	会心提高2%。		2100	0			5
156	1	5	553	1839	《西河剑器·江海凝光》秘诀断篇	会心提高3%。		3600	0			5
157	1	9	553	1843	《西河剑器·江海凝光》真传残页	招式的有效距离增加2尺。		2700	0			
158	1	9	553	1843	《西河剑器·江海凝光》真传断篇	招式的有效距离增加2尺。		6000	0			
159	1	9	553	1843	《西河剑器·江海凝光》真传绝章	招式的有效距离增加2尺。		3900	0			
160	1	6	553	1840	《西河剑器·江海凝光》参悟残页	伤害提高15%。		2100	0			5
161	1	6	553	1840	《西河剑器·江海凝光》参悟断篇	伤害提高15%。		2100	0			161
162	1	1	552	1835	《剑器浑脱·邻里曲》穴位图残页	调息时间减少100秒。		7200	0			
163	1	1	552	1835	《剑器浑脱·邻里曲》穴位图断篇	调息时间减少100秒。		7200	0			
164	1	1	552	1835	《剑器浑脱·邻里曲》穴位图绝章	调息时间减少100秒。		7200	0			
165	1	2	552	1836	《剑器浑脱·邻里曲》注解残页	施展招式的消耗降低20%。		2100	0			
166	1	2	552	1836	《剑器浑脱·邻里曲》注解断篇	施展招式的消耗降低30%。		2700	0			
167	1	8	552	1842	《剑器浑脱·邻里曲》人偶图残页	重置“蝶弄足”调息时间。		7800	0			
168	1	8	552	1842	《剑器浑脱·邻里曲》人偶图断篇	重置“帝骖龙翔”调息时间。		11400	0			
169	1	1	568	1835	《剑器浑脱·繁音急节》穴位图残页	调息时间减少1秒。		10800	0			5
170	1	1	568	1835	《剑器浑脱·繁音急节》穴位图断篇	调息时间减少2秒。		13200	0			5
171	1	1	568	1835	《剑器浑脱·繁音急节》穴位图绝章	调息时间减少3秒。		15600	0			5
172	1	2	1	1836	《剑器浑脱·满堂势》注解残页	施展招式的消耗降低20%。		7500	0			
173	1	2	1	1836	《剑器浑脱·满堂势》注解断篇	施展招式的消耗降低30%。		6300	0			
174	1	8	568	1842	《剑器浑脱·繁音急节》人偶图残页	招式附加闪避值提高10%，持续5秒。		13200	0			
175	1	8	568	1842	《剑器浑脱·繁音急节》人偶图断篇	招式附加额外内功防御提高10%，持续5秒。		13200	0			
176	1	2	1	1836	《霓裳羽衣·上元点鬟》注解残页	施展招式的消耗降低5%。		2400	0			
177	1	2	1	1836	《霓裳羽衣·上元点鬟》注解断篇	施展招式的消耗降低10%。		3300	0			
178	1	2	1	1836	《霓裳羽衣·上元点鬟》注解绝章	施展招式的消耗降低10%。		3600	0			
179	1	9	556	1843	《霓裳羽衣·上元点鬟》真传残页	招式的有效距离增加2尺。		3900	0			5
180	1	9	556	1843	《霓裳羽衣·上元点鬟》真传断篇	招式的有效距离增加2尺。		9900	0			5
181	1	9	556	1843	《霓裳羽衣·上元点鬟》真传绝章	招式的有效距离增加2尺。		4500	0			5
182	1	8	556	1842	《霓裳羽衣·上元点鬟》人偶图断篇	疗伤成效提高7%。		10500	0			5
183	1	1	557	1835	《西河剑器·天地低昂》穴位图残页	调息时间减少15秒。		15000	0			5
184	1	1	557	1835	《西河剑器·天地低昂》穴位图断篇	调息时间减少15秒。		15000	0			5
185	1	2	1	1836	《西河剑器·天地低昂》注解残页	施展招式的消耗降低20%。		6900	0			
186	1	2	1	1836	《西河剑器·天地低昂》注解断篇	施展招式的消耗降低30%。		9900	0			
187	1	10	557	1844	《西河剑器·天地低昂》手抄残页	招式附加效果持续时间增加3秒。		23400	0			5
188	1	8	1	1842	《西河剑器·天地低昂》人偶图断篇	招式附加内力恢复，持续12秒。		19200	0	2		
189	1	8	557	1842	《西河剑器·天地低昂》人偶图残页	施展招式后每秒回复1%气血值，持续5秒。		22500	0			5
190	1	2	1	1836	《霓裳羽衣·翔鸾舞柳》注解残页	施展招式的消耗降低5%。		6000	0			
191	1	2	1	1836	《霓裳羽衣·翔鸾舞柳》注解断篇	施展招式的消耗降低10%。		6600	0			
192	1	9	554	1843	《霓裳羽衣·翔鸾舞柳》真传残页	招式的有效距离增加2尺。		8100	0			4
193	1	9	554	1843	《霓裳羽衣·翔鸾舞柳》真传断篇	招式的有效距离增加2尺。		9000	0			5
194	1	9	554	1843	《霓裳羽衣·翔鸾舞柳》真传绝章	招式的有效距离增加2尺。		23400	0			5
195	1	8	554	1842	《霓裳羽衣·翔鸾舞柳》人偶图残页	疗伤成效提高3%。		10200	0			5
196	1	8	554	1842	《霓裳羽衣·翔鸾舞柳》人偶图断篇	疗伤成效提高5%。		15000	0			5
197	1	1	551	1835	《剑器浑脱·心鼓弦》穴位图残页	调息时间减少120秒。		5100	0			5
198	1	1	551	1835	《剑器浑脱·心鼓弦》穴位图断篇	调息时间减少180秒。		9000	0			5
199	1	1	551	1835	《剑器浑脱·心鼓弦》穴位图绝章	调息时间减少240秒。		16200	0			5
200	1	3	551	1837	《剑器浑脱·心鼓弦》经脉图残页	运功时间减少0.25秒。		14100	0			
201	1	3	551	1837	《剑器浑脱·心鼓弦》经脉图断篇	运功时间减少0.25秒。		10500	0			
202	1	3	551	1837	《剑器浑脱·心鼓弦》经脉图绝章	运功时间减少0.25秒。		12900	0			
203	1	9	551	1843	《剑器浑脱·心鼓弦》真传残页	招式的有效距离增加4尺。		4500	0			5
204	1	1	570	1835	《西河剑器·月华倾泻》穴位图残页	调息时间减少5秒。		6000	0			
205	1	1	570	1835	《西河剑器·月华倾泻》穴位图断篇	调息时间减少10秒。		12900	0			
206	1	1	570	1835	《西河剑器·月华倾泻》穴位图绝章	调息时间减少15秒。		16500	0			
207	1	2	570	1836	《西河剑器·月华倾泻》注解残页	施展招式的消耗降低10%。		2700	0			
208	1	2	570	1836	《西河剑器·月华倾泻》注解断篇	施展招式的消耗降低20%。		2400	0			
209	1	9	570	1843	《西河剑器·月华倾泻》真传残页	招式的有效距离增加4尺。		4500	0			
210	1	8	570	1842	《西河剑器·月华倾泻》人偶图残页	招式附加气血恢复，持续9秒。		9600	0			
211	1	2	1	1836	《霓裳羽衣·左旋右转》注解残页	施展招式的消耗降低10%。		2100	0			
212	1	2	1	1836	《霓裳羽衣·左旋右转》注解断篇	施展招式的消耗降低15%。		3000	0			
213	1	12	567	1843	《霓裳羽衣·左旋右转》真传残页	招式的有效范围增加1尺。		3000	0			
214	1	12	567	1843	《霓裳羽衣·左旋右转》真传断篇	招式的有效范围增加1尺。		3000	0			
215	1	12	567	1843	《霓裳羽衣·左旋右转》真传绝章	招式的有效范围增加1尺。		6900	0			
216	1	8	567	1842	《霓裳羽衣·左旋右转》人偶图残页	疗伤成效提高3%。		4800	0			
217	1	8	567	1842	《霓裳羽衣·左旋右转》人偶图断篇	疗伤成效提高5%。		6300	0			
218	1	2	1	1847	《龙爪功·抱残式》注解残页	施展招式的消耗降低10%。		2100	0			
219	1	2	1	1847	《龙爪功·抱残式》注解断篇	施展招式的消耗降低15%。		3300	0			
220	1	2	1	1847	《龙爪功·抱残式》注解绝章	施展招式的消耗降低20%。		2100	0			
221	1	10	1	1855	《龙爪功·抱残式》手抄残页	招式附加效果持续时间增加2秒。		6900	0			
222	1	1	1	1846	《龙爪功·抱残式》穴位图残页	调息时间减少1秒。		9600	0			
223	1	9	1	1854	《龙爪功·抱残式》真传残页	招式的有效距离增加1尺。		3000	0			
224	1	9	1	1854	《龙爪功·抱残式》真传断篇	招式的有效距离增加1尺。		3600	0			
225	1	9	1	1854	《龙爪功·抱残式》真传绝章	招式的有效距离增加1尺。		5700	0			
226	1	8	1	1853	《龙爪功·抱残式》人偶图断篇	招式效果提高10%。		15900	0			
227	1	1	238	1846	《龙爪功·捕风式》穴位图残页	调息时间减少0.5秒。		7500	0			
228	1	1	238	1846	《龙爪功·捕风式》穴位图断篇	调息时间减少0.5秒。		16200	0			5
229	1	9	238	1854	《龙爪功·捕风式》真传残页	招式的有效距离增加2尺。		3900	0			
230	1	9	238	1854	《龙爪功·捕风式》真传断篇	招式的有效距离增加2尺。		6600	0			
231	1	7	238	1852	《龙爪功·捕风式》详解残页	命中提高1%。		4200	0			
232	1	7	238	1852	《龙爪功·捕风式》详解断篇	命中提高2%。		4500	0			
233	1	6	238	1851	《龙爪功·捕风式》参悟残页	伤害提高10%。		3000	0			5
234	1	6	238	1851	《龙爪功·捕风式》参悟断篇	伤害提高10%。		3300	0			5
235	1	6	238	1851	《龙爪功·捕风式》参悟绝章	伤害提高15%。		3300	0			5
236	1	1	252	1846	《袈裟伏魔功·大狮子吼》穴位图残页	调息时间减少5秒。		4500	0			5
237	1	1	252	1846	《袈裟伏魔功·大狮子吼》穴位图断篇	调息时间减少10秒。		4500	0			5
238	1	1	252	1846	《袈裟伏魔功·大狮子吼》穴位图绝章	调息时间减少10秒。		13200	0			5
239	1	2	1	1847	《袈裟伏魔功·大狮子吼》注解残页	施展招式的消耗降低20%。		1800	0			
240	1	2	1	1847	《袈裟伏魔功·大狮子吼》注解断篇	施展招式的消耗降低30%。		1800	0			
241	1	12	252	1854	《袈裟伏魔功·大狮子吼》真传残页	招式的有效距离增加1尺。		3600	0			
242	1	12	252	1854	《袈裟伏魔功·大狮子吼》真传断篇	招式的有效距离增加1尺。		5100	0			
243	1	12	252	1854	《袈裟伏魔功·大狮子吼》真传绝章	招式的有效距离增加1尺。		3900	0			
244	1	8	252	1853	《袈裟伏魔功·大狮子吼》人偶图残页	每命中一个目标则增加一点禅那。		11100	0			5
245	1	1	1	1846	《达摩武诀·锻骨诀》穴位图残页	调息时间减少5秒。		20100	0			5
246	1	1	1	1846	《达摩武诀·锻骨诀》穴位图断篇	调息时间减少10秒。		20100	0			5
247	1	1	1	1846	《达摩武诀·锻骨诀》穴位图绝章	调息时间减少10秒。		20100	0			5
248	1	2	1	1847	《达摩武诀·锻骨诀》注解残页	施展招式的消耗降低20%。		7500	0			
249	1	2	1	1847	《达摩武诀·锻骨诀》注解断篇	施展招式的消耗降低20%。		6900	0			
250	1	2	1	1847	《达摩武诀·锻骨诀》注解绝章	施展招式的消耗降低20%。		6000	0			
251	1	8	257	1853	《达摩武诀·锻骨诀》人偶图残页	不受内功伤害影响，持续4秒。		22800	0			5
252	1	8	257	1853	《达摩武诀·锻骨诀》人偶图断篇	招式附加移动速度提高，持续8秒。		22800	0			
253	1	8	257	1853	《达摩武诀·锻骨诀》人偶图绝章	招式附加每3秒恢复2%最大气血值，持续9秒。		19200	0			
254	1	2	1	1847	《罗汉棍法·横扫六合》注解残页	施展招式的消耗降低10%。		1800	0			4
255	1	2	1	1847	《罗汉棍法·横扫六合》注解断篇	施展招式的消耗降低15%。		3000	0			4
256	1	2	1	1847	《罗汉棍法·横扫六合》注解绝章	施展招式的消耗降低20%。		1800	0			5
257	1	10	235	1855	《罗汉棍法·横扫六合》手抄残页	招式附加效果持续时间增加6秒。		3000	0			5
258	1	11	235	1856	《罗汉棍法·横扫六合》气血图残页	招式的有效目标人数增加1个。		5100	0			5
259	1	6	235	1851	《罗汉棍法·横扫六合》参悟残页	直接伤害提高50%。		2100	0			5
260	1	4	235	1849	《罗汉棍法·横扫六合》注释残页	威胁提高10%。		2700	0			
261	1	4	235	1849	《罗汉棍法·横扫六合》注释断篇	威胁提高15%。		4800	0			
262	1	4	235	1849	《罗汉棍法·横扫六合》注释绝章	强制周围6尺范围内最多5个敌对目标攻击自身，持续3秒。		3300	0			
263	1	1	232	1846	《罗汉棍法·普渡四方》穴位图残页	调息时间减少0.25秒。		5700	0			5
264	1	1	232	1846	《罗汉棍法·普渡四方》穴位图断篇	调息时间减少0.25秒。		5100	0			5
265	1	7	232	1852	《罗汉棍法·普渡四方》详解残页	命中提高1%。		3000	0			
266	1	7	232	1852	《罗汉棍法·普渡四方》详解断篇	命中提高2%。		3900	0			
267	1	7	232	1852	《罗汉棍法·普渡四方》详解绝章	命中提高2%。		3900	0			
268	1	6	232	1851	《罗汉棍法·普渡四方》参悟残页	伤害提高3%。		2400	0			
269	1	6	232	1851	《罗汉棍法·普渡四方》参悟断篇	伤害提高4%。		5100	0			5
270	1	6	232	1851	《罗汉棍法·普渡四方》参悟绝章	伤害提高5%。		2700	0			5
271	1	8	1	1853	《罗汉棍法·普渡四方》人偶图残页	招式附加每层阳性内功伤害提高1%，持续15秒，最多叠加5层。		8700	0			
272	1	2	1	1847	《达摩武诀·清音诀》注解残页	施展招式的消耗降低10%。		900	0			
273	1	2	1	1847	《达摩武诀·清音诀》注解断篇	施展招式的消耗降低15%。		2100	0			
274	1	2	1	1847	《达摩武诀·清音诀》注解绝章	施展招式的消耗降低20%。		900	0			
275	1	9	1	1854	《达摩武诀·清音诀》真传残页	招式的有效距离增加2尺。		1500	0			
276	1	9	1	1854	《达摩武诀·清音诀》真传断篇	招式的有效距离增加2尺。		1500	0			
277	1	9	1	1854	《达摩武诀·清音诀》真传绝章	招式的有效距离增加2尺。		2100	0			
278	1	8	1	1853	《达摩武诀·清音诀》人偶图残页	能卸除额外一个点穴不利效果。		3300	0			
279	1	8	1	1853	《达摩武诀·清音诀》人偶图断篇	能卸除额外一个减速不利效果。		10800	0			
